Citation,year.published,DOI,Reviewed.by,Date.read,Type.of.proportion.data,Field.Discipline,Tidy.Discipline,analysis.used,method,notes
"Rahman, M.M., Kadowaki, S., Balcombe, S.R., and Wahab, M.A. 2010. Common carp (Cyprinus carpio L.) alters its feeding niche in response to changing food resources: direct observations in simulated ponds. Ecol. Res. 25: 303-309. DOI: 10.1007/s11284-009-0657-7",2010,10.1007/s11284-009-0657-7,Emilie,09-Jul-21,inherently proprtional,aquatic ecology,Community,arcsine square root transformation,angular transformation,
"DiTommaso, A., Milbrath, L.R., Bitner, T., and Wesley, F.R. 2013. Pale swallowwort (Vincetoxicum rossicum) response to cutting and herbicides. Invasive Plant Science and Management 6: 381-390. DOI: 10.1614/IPSM-D-12-00078.1",2013,10.1614/IPSM-D-12-00078.1,Emilie,09-Jul-21,inherently proprtional,plant ecology,Community,arcsine square root transformation,angular transformation,
"Tierney, T.A., and Cushman, J.H. 2006. Temporal changes in native and exotic vegetation and soil characteristics following disturbances by feral pigs in a California grassland. Biological Invasions 8: 1073-1089. DOI: 10.1007/s10530-005-6829-7",2006,10.1007/s10530-005-6829-7,Emilie,09-Jul-21,inherently proprtional,plant ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Sudduth, E.B., and Meyer, J.L. 2006. Effects of bioengineered streambank stabilization on bank habitat and macroinvertebrates in urban streams. Environmental Management 38(2): 218-226. DOI: 10.1007/s00267-004-0381-6",2006,10.1007/s00267-004-0381-6,Emilie,09-Jul-21,inherently proprtional,aquatic ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Robertson, E.L., and Liber, K. 2007. Bioassays with caged Hyalella azteca to determine in situ toxicity downstream of two Saskatchewan, Canada, Uranium operations. Environmental Toxicology 26(11): 2345-2355. DOI: 10.1897/06-489R.1",2007,10.1897/06-489R.1,Emilie,09-Jul-21,inherently proprtional,aquatic ecology,Community,arcsine square root transformation,angular transformation,
"Kreutzweiser, D.P., Capell, S.S., and Good, K.P. 2005. Effects of fine sediment inputs from a logging road on stream insect communities: a large-scale experimental approach in a Canadian headwater stream. Aquatic Ecology 39: 55-66. DOI: 10.1007/s10452-004-5066-y",2005,10.1007/s10452-004-5066-y,Emilie,09-Jul-21,inherently proprtional,aquatic ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Gibson, K.D., Quackenbush, P.M., Emery, N.C., Jenkins, M.A., and Kladiko, E.J. 2013. Invasive earthworms and plants in Indiana old- and second-growth forests. Invasive Plant Science and Management 6:161-174. DOI: 10.1614/IPSM-D-12-00046.1",2013,10.1614/IPSM-D-12-00046.1,Emilie,09-Jul-21,inherently proprtional,plant ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Harrod, R.J., and Halpern, C.B. 2009. Effects of experimental burning on individual performance and population structure of two rare plants of northcentral Washington. Restoration Ecology 17(2): 215-225. DOI: 10.1111/j.1526-100X.2008.00371.x",2009,10.1111/j.1526-100X.2008.00371.x,Emilie,09-Jul-21,inherently proprtional,forest ecology/fire ecology,Community,arcsine square root transformation,angular transformation,
"Bennett, D.C., Gray, D.A., Sharp, P.J., and Hughes, M.R. 2005. Redistribution of extracellular water and sodium may contribute to saline tolerance in wild ducks. Physiological and Biochemical Zoology 78(3): 47-455. DOI: 10.1086/430043",2005,10.1086/430043,Emilie,09-Jul-21,inherently proprtional,zoology,Community,arcsine square root transformation,angular transformation,
"Kroes, D.E., and Brinson, M.M. 2004. Occurrence of riverine wetlands on floodplains along a climatic gradient. Wetlands 24(1): 167-177. DOI: 10.1672/0277-5212(2004)024[0167:OORWOF]2.0.CO;2",2004,10.1672/0277-5212(2004)024[0167:OORWOF]2.0.CO;2,Emilie,09-Jul-21,inherently proprtional,aquatic ecology,Population,arcsine square root transformation,angular transformation,
